utc,mode,seconds,frames,fps,p95_ms,p99_ms,cpu_ms,gpu_ms,draw_calls,triangles,gc_bytes_last_frame,allocated_mb
2026-09-08T06:51:09.0133760Z,menu,5.01,263,52.50,24.55,53.35,16.30,unavailable,-1,4,-1,171.0
2026-09-08T06:51:14.0282750Z,menu,5.01,293,58.44,22.81,32.90,18.41,unavailable,-1,4,-1,171.0
2026-09-08T06:51:19.0443920Z,menu,5.01,177,35.30,66.82,97.98,27.25,unavailable,-1,4,-1,171.0
2026-09-08T06:51:24.0655900Z,menu,5.01,197,39.30,46.65,90.02,46.65,unavailable,-1,4,-1,173.0
2026-09-08T06:51:29.1534120Z,menu,5.09,211,41.48,44.28,77.50,40.38,unavailable,-1,4,-1,173.0
2026-09-08T06:51:34.1739230Z,menu,5.02,161,32.09,66.07,126.12,18.04,unavailable,-1,4,-1,173.0
2026-09-08T06:51:39.1835090Z,menu,5.01,246,49.14,36.23,51.12,16.91,unavailable,-1,4,-1,173.0
2026-09-08T06:51:44.2358500Z,menu,5.05,110,21.78,104.01,352.89,17.21,unavailable,-1,4,-1,173.1
2026-09-08T06:51:49.2590850Z,playing,5.00,142,28.39,79.18,153.29,19.82,unavailable,-1,921364,-1,173.3
2026-09-08T06:51:54.2678230Z,playing,5.01,143,28.56,64.80,125.02,45.46,unavailable,-1,964538,-1,173.4
2026-09-08T06:51:59.2768450Z,playing,5.01,137,27.37,81.88,133.66,17.48,unavailable,-1,1240252,-1,178.4
2026-09-08T06:52:04.2924090Z,playing,5.01,294,58.65,22.72,36.78,14.42,unavailable,-1,1028829,-1,178.6
2026-09-08T06:52:09.3135330Z,playing,5.02,297,59.19,20.07,30.24,16.64,unavailable,-1,1036389,-1,178.6
2026-09-08T06:52:14.3293420Z,playing,5.02,301,60.02,18.65,21.17,16.03,unavailable,-1,912170,-1,178.7
2026-09-08T06:52:19.3303050Z,playing,5.00,289,57.80,23.46,34.04,17.47,unavailable,-1,571889,-1,178.6
2026-09-08T06:52:24.3320630Z,playing,5.00,299,59.79,20.02,23.56,15.03,unavailable,-1,181598,-1,178.6
2026-09-08T06:52:29.3488630Z,playing,5.02,278,55.43,24.67,56.58,16.25,unavailable,-1,91880,-1,178.6
2026-09-08T06:52:34.3655120Z,playing,5.02,266,53.04,31.93,85.55,18.65,unavailable,-1,925883,-1,178.6
2026-09-08T06:52:39.3769720Z,menu,5.01,267,53.30,31.49,55.19,16.92,unavailable,-1,4,-1,178.6
2026-09-08T06:52:47.9294620Z,playing,5.01,291,58.14,19.19,39.63,16.93,unavailable,-1,948074,-1,177.6
2026-09-08T06:52:52.9308150Z,playing,5.00,300,59.99,18.28,19.51,17.45,unavailable,-1,904966,-1,178.3
2026-09-08T06:52:57.9477410Z,playing,5.02,294,58.61,18.51,33.95,15.79,unavailable,-1,1189049,-1,178.6
2026-09-08T06:53:02.9611140Z,playing,5.01,300,59.85,18.65,20.84,16.22,unavailable,-1,1004219,-1,178.8
2026-09-08T06:53:07.9793960Z,playing,5.02,301,59.99,18.28,19.23,17.40,unavailable,-1,810870,-1,178.5
2026-09-08T06:53:12.9828310Z,playing,5.00,300,59.96,18.08,18.52,17.20,unavailable,-1,496694,-1,178.7
2026-09-08T06:53:17.9967760Z,playing,5.01,301,60.04,18.56,20.43,16.52,unavailable,-1,839722,-1,178.5
2026-09-08T06:53:22.9987510Z,menu,5.00,300,59.98,18.35,19.03,18.23,unavailable,-1,4,-1,178.9
2026-09-08T06:53:30.5316380Z,menu,5.00,297,59.39,19.17,24.22,16.59,unavailable,-1,4,-1,177.6
2026-09-08T06:53:35.5336660Z,menu,5.00,296,59.18,18.64,22.11,15.47,unavailable,-1,4,-1,177.6
2026-09-08T06:53:41.3054560Z,menu,5.77,59,10.22,997.85,1006.62,1.76,unavailable,-1,4,-1,177.6
2026-09-08T06:53:46.3060540Z,menu,5.00,11,2.20,999.17,999.17,83.38,unavailable,-1,4,-1,177.6
2026-09-08T06:53:51.3253880Z,menu,5.01,14,2.79,999.18,999.18,1.36,unavailable,-1,4,-1,177.6
2026-09-08T06:53:56.3871420Z,menu,5.06,15,2.96,987.72,987.72,1.24,unavailable,-1,4,-1,177.6
