utc,mode,seconds,frames,fps,p95_ms,p99_ms,cpu_ms,gpu_ms,draw_calls,triangles,gc_bytes_last_frame,allocated_mb,focused,focus_changes
2026-09-08T07:22:10.3916900Z,menu,5.01,284,56.65,18.57,61.01,16.76,unavailable,-1,4,-1,171.0,1,0
2026-09-08T07:22:15.4085250Z,menu,5.02,300,59.80,18.12,18.69,16.13,unavailable,-1,4,-1,171.0,1,0
2026-09-08T07:22:20.4260000Z,menu,5.02,301,60.00,17.94,19.07,17.57,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:25.4418120Z,menu,5.01,301,60.02,18.15,18.86,16.76,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:30.4575690Z,menu,5.01,298,59.42,18.22,21.35,17.65,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:35.4589430Z,menu,5.00,300,59.99,18.07,18.74,17.58,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:40.4603090Z,menu,5.00,300,59.99,18.01,19.22,16.51,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:45.4745450Z,menu,5.01,301,60.03,17.87,18.54,17.08,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:50.4778930Z,menu,5.00,296,59.19,18.93,34.40,16.22,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:22:55.4920460Z,menu,5.01,301,60.07,17.94,18.30,16.14,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:00.5098850Z,menu,5.02,301,59.99,18.17,19.00,18.54,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:05.5258720Z,menu,5.02,301,60.01,18.13,18.57,18.05,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:10.5429830Z,menu,5.02,301,60.00,18.10,19.88,15.69,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:15.5440730Z,menu,5.00,300,59.99,17.87,18.48,16.54,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:20.5612350Z,menu,5.02,301,60.01,18.19,18.66,17.07,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:25.5744420Z,menu,5.01,301,60.05,18.26,21.10,16.96,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:30.5762270Z,menu,5.00,300,59.99,18.08,18.63,15.97,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:35.5934290Z,menu,5.02,301,60.00,18.09,18.62,17.10,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:40.6090040Z,menu,5.02,299,59.62,18.33,30.95,17.45,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:45.6258030Z,menu,5.02,301,60.01,17.96,18.54,15.60,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:50.6429700Z,menu,5.02,301,60.01,18.01,18.70,18.04,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:23:55.6586310Z,menu,5.02,301,60.02,18.00,18.87,16.32,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:00.6743510Z,menu,5.02,299,59.62,18.31,26.32,15.94,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:05.6752690Z,menu,5.00,300,60.00,18.14,18.85,15.31,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:10.6912860Z,menu,5.01,301,60.02,18.00,18.45,15.70,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:15.7086710Z,menu,5.02,301,60.00,18.00,18.63,17.61,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:20.7241380Z,menu,5.01,299,59.62,18.31,26.19,15.82,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:25.7251980Z,menu,5.00,300,60.00,18.13,18.53,15.71,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:30.7416560Z,menu,5.02,301,60.01,18.09,18.53,15.77,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:35.7592630Z,menu,5.02,301,59.99,18.04,19.10,16.90,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:40.9137880Z,menu,5.15,253,49.09,18.24,19.03,16.47,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:45.9226150Z,menu,5.01,21,4.19,972.53,978.82,8.21,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:50.9279640Z,menu,5.00,18,3.60,984.51,984.51,1.41,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:24:55.9448560Z,menu,5.02,15,2.99,988.56,988.56,1.36,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:00.9718910Z,menu,5.03,16,3.18,991.89,991.89,83.25,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:05.9959450Z,menu,5.02,14,2.79,983.22,983.22,1.25,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:10.9977150Z,menu,5.00,15,3.00,985.13,985.13,1.92,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:15.9986490Z,menu,5.00,15,3.00,985.23,985.23,0.98,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:21.9144350Z,menu,5.92,17,2.87,978.38,978.38,970.09,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:26.9255550Z,menu,5.01,16,3.19,983.98,983.98,1.02,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:31.9383100Z,menu,5.01,15,2.99,987.03,987.03,13.84,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:36.9988730Z,menu,5.06,15,2.96,986.08,986.08,1.87,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:42.0821610Z,menu,5.08,16,3.15,984.87,984.87,13.58,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:47.9140230Z,menu,5.83,16,2.74,985.28,985.28,985.28,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:52.9150780Z,menu,5.00,15,3.00,984.00,984.00,984.00,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:25:57.9305690Z,menu,5.01,16,3.19,978.28,978.28,1.23,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:26:02.9442570Z,menu,5.01,16,3.19,1002.67,1002.67,12.17,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:26:07.9735230Z,menu,5.03,15,2.98,985.40,985.40,81.53,unavailable,-1,4,-1,173.0,1,0
2026-09-08T07:26:13.9159170Z,menu,5.94,12,2.02,998.39,998.39,997.82,unavailable,-1,4,-1,173.0,1,0
